IMDb ID,Title,Year,Rating,Votes,Genre,Description,Country,Director,Writers,URL,titleType,startYear,runtimeMinutes
tt0000026,Partie d'écarté,1896.0,5.6,1.7K,"Documentary,Short",Lumière Catalogue no. 73.,France,Louis Lumière,,https://www.imdb.com/title/tt0000026/,short,1896,1
tt0000027,Place des Cordeliers à Lyon,1895.0,5.6,1.3K,"Documentary,Short","Filmed or show in May 10, 1895.",France,Louis Lumière,,https://www.imdb.com/title/tt0000027/,short,1895,1
tt0000028,La pêche aux poissons rouges,1895.0,5.1,1.2K,"Documentary,Short","This film, along with nine other films, was shown at a Paris, mini-film festival, by pioneering filmmakers, the Lumiere brothers, in December of 1895. This fifth movie, ever shown to a paying audience, is actually a really great ine to see. You immediately start trying to figure out what is going on in the scene. All I could think of is, ""dude, don't put that 130 year old baby in that vase"". This is totally the 1895 version of a TikTok video. It features Auguste Lumiere having fun with his baby, as they play with a vase full of goldfish. It is a fitting abstract with an infant being showcased in a film, during the infancy of motion pictures. It does deserve an A+, since it was one of the first.9.9 (A+ MyGrade) = 10 IMDB.",France,Louis Lumière,,https://www.imdb.com/title/tt0000028/,short,1895,1
tt0000029,Repas de bébé,1895.0,5.9,3.7K,"Documentary,Short","Film historians often jokingly refer to this film as the first 'home movie,' as it depicts the filmmaker's home life in a documentary fashion, without any attempt at narrative contrivances.",France,Louis Lumière,,https://www.imdb.com/title/tt0000029/,short,1895,1
tt0000030,Rough Sea at Dover,1895.0,5.2,959,"Documentary,Short",Rough Sea at Dover (1896) The title of this twenty-second film pretty much tells you all that you need to know. The camera is set up to capture some giant waves crashing up against a wall. On top of the wall you can see some people standing. That's pretty much the only thing that happens here but if you're a fan of these early movies then you'll certainly want to check it out even though there's certainly nothing here that changed film history. The waves are good enough for what they are and I'm sure people who had never seen them were having fun paying a penny to watch this back in 1896.,United Kingdom,Birt Acres,,https://www.imdb.com/title/tt0000030/,short,1895,1
tt0000031,Le saut à la couverture,1895.0,5.5,1.1K,"Documentary,Short",Edited into The Lumière Brothers' First Films (1996),France,Louis Lumière,,https://www.imdb.com/title/tt0000031/,short,1895,1
tt0000032,Die Serpentintänzerin,1895.0,4.9,459,Short,This is not a film but a series of photographs.,Germany,Max Skladanowsky,,https://www.imdb.com/title/tt0000032/,short,1895,1
tt0000033,La voltige,1895.0,5.5,1.1K,"Comedy,Documentary,Short",Remade as Voltige (1896),France,Louis Lumière,,https://www.imdb.com/title/tt0000033/,short,1895,1
tt0000034,Arrivée d'un train gare de Vincennes,1896.0,4.8,252,"Documentary,Short","This film is presumed lost. However, according to Variety magazine in 2013, South American animator Bernhard and Sara Richter have suggested that a flipbook produced around this time may be an existing copy of this film. Conclusive evidence absolutely proving this have not been discovered however.",France,Georges Méliès,,https://www.imdb.com/title/tt0000034/,short,1896,1
tt0000035,L'arroseur,1896.0,5.5,87,"Comedy,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000035/,short,1896,1
tt0000036,Awakening of Rip,1896.0,4.4,652,"Drama,Short","This film was incorporated wholly into the compilation film Rip Van Winkle (1896), which is in the 3-disk boxed DVD set called ""More Treasures from American Film Archives, 1894-1931"" (2004), compiled by the National Film Preservation Foundation from 5 American film archives. It was restored by the Library of Congress from its paper print collection, has a running time of about 25 seconds, and an added piano music score.",United States,William K.L. Dickson,Washington Irving,https://www.imdb.com/title/tt0000036/,short,1896,1
tt0000037,Baignade en mer,1896.0,4.5,79,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000037/,short,1896,1
tt0000038,The Ball Game,1898.0,4.1,231,"Documentary,Short,Sport",Featured in Diamonds on the Silver Screen (1992),United States,William Heise,,https://www.imdb.com/title/tt0000038/,short,1898,1
tt0000039,Barnet Horse Fair,1896.0,3.7,35,Short,,United Kingdom,,,https://www.imdb.com/title/tt0000039/,short,1896,
tt0000040,Barque sortant du port de Trouville,1896.0,4.2,80,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000040/,short,1896,
tt0000041,Bataille de neige,1897.0,6.7,2.1K,"Comedy,Documentary,Short",Lumière Catalog No. 101.,France,Louis Lumière,,https://www.imdb.com/title/tt0000041/,short,1897,1
tt0000042,Bateau-mouche sur la Seine,1896.0,4.2,41,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000042/,short,1896,
tt0000043,Batteuse à vapeur,1896.0,3.5,35,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000043/,short,1896,
tt0000044,Le bivouac,1896.0,4.0,56,Short,Part of Georges Méliès's actuality series of military scenes.,France,Georges Méliès,,https://www.imdb.com/title/tt0000044/,short,1896,1
tt0000045,Les blanchisseuses,1896.0,4.0,36,Short,The seventh film made by Georges Méliès.,France,Georges Méliès,,https://www.imdb.com/title/tt0000045/,short,1896,
tt0000046,Bois de Boulogne,1896.0,4.1,41,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000046/,short,1896,
tt0000047,Boulevard des Italiens,1896.0,3.7,40,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000047/,short,1896,
tt0000048,The Boxing Kangaroo,1896.0,4.7,234,Short,"The Boxing Kangaroo (1895)This film has become rather popular over the years because of what the title promises the viewer and it actually delivers. For around twenty-five seconds a man and a kangaroo box. Yes, that's all that happens but as long as you don't take it too serious then you're bound to have a little fun with it. The film's condition is in poor shape but that doesn't take away from the fun as the kangaroo seems to be getting a good work out at the very least. I'm sure PETA members might object to this but at the same time I'm sure this was a staged act back in the day.",United Kingdom,Birt Acres,,https://www.imdb.com/title/tt0000048/,short,1896,
tt0000049,"Boxing Match; or, Glove Contest",1896.0,4.8,56,"Short,Sport","This crude early film was shown at the Cinema Muto festival in Sacile, Italy, in October 2006. The very earliest film-makers (such as Birt Acres, who made this film) often used their cameras to record sporting events: this saved them the cost of hiring actors and staging scripts, and early nickelodeon customers would gladly pay to watch films of sporting events which they hadn't seen in person. Boxing matches were especially well-suited to the new medium, as these featured plenty of action but kept the combatants combined in a small area (the boxing ring) directly in front of the primitive movie camera, which (of necessity) was stationary.Birt Acres, the American-born film pioneer in Britain, is known to have filmed at least two boxing matches in 1895/96. The other one is apparently lost. This one was filmed at the military tournament (an athletic competition among the British armed forces) near Cardiff in August 1896. (IMDb give a release date of January '96, which I believe is an error.) Cardiff is one of my favourite cities, so I was keenly disappointed that this film offers no real nineteenth-century glimpse of that metropolis. However, we do see corner men, a referee and the ringside spectators in addition to the pugilists. One of the boxers is an army sergeant named Pope (no forename recorded), the other a sergeant-instructor (presumably of boxing) named F. Barratt. Damned if I know which is which. One boxer knocks down the other. Damned if I know which. The fight itself (we see about a round and a half) looks genuine enough ... until we come to a knockdown which looks suspiciously staged, as if Acres wanted to make sure that his audience got a good solid ending with a (literal) punch.As neither of these two combatants is important to the history of boxing, and as the rules of boxing in the 1890s are already well documented, this film's historical significance is minimal. But then, I'm not especially a fan of boxing. I tend to be fascinated by all movies that were made before 1900, but this one fascinates me a lot less than most from that period. Perhaps this brief film rates some significance as the very first fight scene in movie history. I'll rate it 4 out of 10.",United Kingdom,Birt Acres,,https://www.imdb.com/title/tt0000049/,short,1896,
tt0000050,Bébé et fillettes,1896.0,4.1,37,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000050/,short,1896,
tt0000051,Campement de bohémiens,1896.0,3.6,38,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000051/,short,1896,
tt0000052,Ruraux au galop,1896.0,4.1,123,"Documentary,Short","Against the background an architrave of an aqueduct, a small group of sombrero-hatted men ride their horses. A few seconds. a larger group pursues them. It's a typical, well-composed actuality that you'd expect from the folks who worked for Lumiere.Gabriel Veyre, who shot this actuality, was a globe-trotting exhibitor for about seven years. In Mexico in 1896, he shot a bunch of movies, then went to other places to show movies and shoot some more. Lumiere distributed his movies. He died in Morocco in 1936, where he had resided for many years, working as a newspaper correspondent.His cameraman on this and his other Mexican films was Claude Ferdinand Bon Bernard. About that individual, all that is known is that fact.",France,Gabriel Veyre,,https://www.imdb.com/title/tt0000052/,short,1896,1
tt0000053,A Chegada do Comboio Inaugural à Estação Central do Porto,1897.0,3.4,20,"Documentary,Short",,Portugal,Francisco Pinto Moreira,,https://www.imdb.com/title/tt0000053/,short,1897,
tt0000054,Les chevaux de bois,1896.0,4.9,37,Short,The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000054/,short,1896,
tt0000055,Le chiffonnier,1896.0,3.8,34,Short,The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000055/,short,1896,
tt0000056,Uma Corrida de Touros no Campo Pequeno,1896.0,3.0,24,Short,,United Kingdom,Henry Short,,https://www.imdb.com/title/tt0000056/,short,1896,
tt0000057,Cortège de tzar allant à Versailles,1896.0,4.3,38,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000057/,short,1896,
tt0000058,Cortège de tzar au Bois de Boulogne,1896.0,4.3,36,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000058/,short,1896,
tt0000059,Couronnement de la rosière,1896.0,3.5,30,Short,The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000059/,short,1896,
tt0000060,Dancing Darkies,1896.0,7.1,94,"Comedy,Documentary,Short",Biograph production number 41.,United States,William K.L. Dickson,,https://www.imdb.com/title/tt0000060/,short,1896,
tt0000061,Dancing Girls,1896.0,4.3,36,Short,,United Kingdom,Birt Acres,,https://www.imdb.com/title/tt0000061/,short,1896,
tt0000062,Danse serpentine,1896.0,6.1,221,Short,"No one has watched this film for the very good reason that it does not survive. Virtually everyone made versions of Loie Fuller's famous dance (none of them featuring Loie Fuller) including Méliès but the version that survives in a hand-coloured version is by the Lumières. Méliès' version is, as far as one knows, lost.",France,Georges Méliès,,https://www.imdb.com/title/tt0000062/,short,1896,1
tt0000063,Dessinateur express,1896.0,3.4,31,Short,"The first film of four in Georges Méliès's ""A Lightening Sketch"" series.",France,Georges Méliès,,https://www.imdb.com/title/tt0000063/,short,1896,
tt0000064,Dessinateur: Chamberlain,1896.0,3.1,32,Short,"The second film of four in Georges Méliès's ""A Lightening Sketch"" film series.",France,Georges Méliès,,https://www.imdb.com/title/tt0000064/,short,1896,
tt0000065,Dessinateur: Reine Victoria,1896.0,3.4,32,Short,"The third of four films in Méliès's ""A Lightening Sketch"" series.",France,Georges Méliès,,https://www.imdb.com/title/tt0000065/,short,1896,
tt0000066,Dessinateur: Von Bismark,1896.0,3.3,32,Short,"The fourth and last of the four short films in Georges Méliès's ""A Lightening Sketch"" series.",France,Georges Méliès,,https://www.imdb.com/title/tt0000066/,short,1896,
tt0000067,Dix chapeaux en 60 secondes,1896.0,5.2,94,"Fantasy,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000067/,short,1896,1
tt0000068,Déchargement de bateaux,1896.0,3.8,34,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000068/,short,1896,
tt0000069,Défense d'afficher,1896.0,4.9,543,"Comedy,Short",This film was apparently lost until 2004.,France,Georges Méliès,,https://www.imdb.com/title/tt0000069/,short,1896,1
tt0000070,Démolition d'un mur,1896.0,6.4,2.9K,"Documentary,Short","This film is notable for the fact it is believed to be World's First film using reverse-motion. To make the effect that the wall was rebuilding itself the traveling Lumiere cameraman would reverse the reel and play the film backwards, to astound the audience.",France,Louis Lumière,,https://www.imdb.com/title/tt0000070/,short,1896,1
tt0000071,Départ des automobiles,1896.0,3.4,32,"Short,Sport",,France,Georges Méliès,,https://www.imdb.com/title/tt0000071/,short,1896,
tt0000072,Départ des officiers,1896.0,3.6,30,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000072/,short,1896,
tt0000073,Effets de mer sur les rochers,1896.0,3.5,33,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000073/,short,1896,
tt0000074,Enfants jouant sur la plage,1896.0,4.6,34,"Documentary,Short",This film is considered lost as no copies are known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000074/,short,1896,
tt0000075,Escamotage d'une dame au théâtre Robert Houdin,1896.0,6.3,2.2K,"Horror,Short","Melies remembered this is as the first of his films where, employing an accidentally discovered use of stopping his camera, he was able to convey the effect of a person disappearing.",France,Georges Méliès,,https://www.imdb.com/title/tt0000075/,short,1896,1
tt0000076,Exit of Rip and the Dwarf,1896.0,4.4,584,"Drama,Short","This film was incorporated wholly into the compilation film Rip Van Winkle (1896), which is in the 3-disk boxed DVD set called ""More Treasures from American Film Archives, 1894-1931"" (2004), compiled by the National Film Preservation Foundation from 5 American film archives. It was restored by the Library of Congress from its paper print collection, has a running time of about 25 seconds, and an added piano music score.",United States,William K.L. Dickson,Washington Irving,https://www.imdb.com/title/tt0000076/,short,1896,1
tt0000077,"Le fakir, mystère indien",1896.0,4.5,38,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000077/,short,1896,
tt0000078,Feira de Gado na Corujeira,1896.0,3.6,111,"Documentary,Short","As of December 31, 2009, only one frame of this film remains in custody of Cinemateca Portuguesa - Museu do Cinema, so it is considered one lost film.",Portugal,Aurélio da Paz dos Reis,,https://www.imdb.com/title/tt0000078/,short,1896,1
tt0000079,La gare Saint-Lazare,1896.0,4.5,39,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000079/,short,1896,
tt0000080,Grandes manoeuvres,1896.0,4.1,34,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000080/,short,1896,
tt0000081,Les haleurs de bateaux,1896.0,4.1,35,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000081/,short,1896,
tt0000082,A Hard Wash,1896.0,4.6,52,"Comedy,Short",Remade as A Morning Bath (1896),United States,William K.L. Dickson,,https://www.imdb.com/title/tt0000082/,short,1896,
tt0000083,Les indiscrets,1896.0,4.5,36,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000083/,short,1896,
tt0000084,Les ivrognes,1896.0,4.4,33,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000084/,short,1896,
tt0000085,Jardinier brûlant des herbes,1896.0,4.7,36,Short,The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000085/,short,1896,
tt0000086,Jetée et plage de Trouville (1er partie),1896.0,4.2,36,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000086/,short,1896,
tt0000087,Jetée et plage de Trouville (2e partie),1896.0,4.8,39,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000087/,short,1896,
tt0000088,Jour de marché à Trouville,1896.0,4.3,35,"Documentary,Short",The film is lost as no copy of it is known to exist.,France,Georges Méliès,,https://www.imdb.com/title/tt0000088/,short,1896,
tt0000089,Départ de Jérusalem en chemin de fer,1897.0,6.2,1.1K,"Documentary,Short",Featured in Cinema Europe: The Other Hollywood (1995),France,Auguste Lumière,,https://www.imdb.com/title/tt0000089/,short,1897,1
tt0000090,Libération des territoriaux,1896.0,4.0,34,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000090/,short,1896,
tt0000091,Le manoir du diable,1896.0,6.7,4.3K,"Horror,Short","Film historians argue that this is the first film depiction of a vampire. While director and actor credited his character as Mephistopheles, a legendary demon, many horror elements associated with vampires exist in the film and are exhibited by the character. These include the transformation from bat to human form, conjuring a harem of demonic brides, apparent mesmeric control, and the ability to conjure humans and creatures to serve him. Many of vampire stereotypes featured here remained tropes in early films about vampires.",France,Georges Méliès,Georges Méliès,https://www.imdb.com/title/tt0000091/,short,1896,3
tt0000092,Marée montante sur Brise-Larmes,1896.0,4.6,32,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000092/,short,1896,
tt0000093,Melbourne,1896.0,4.6,100,"Documentary,Short",Featured in La mémoire retrouvée (1996),France,Auguste Lumière,,https://www.imdb.com/title/tt0000093/,short,1896,
tt0000094,Miss de Vere,1896.0,4.4,55,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000094/,short,1896,1
tt0000095,Le papier protée,1896.0,4.8,37,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000095/,short,1896,
tt0000096,Place Saint-Augustin,1896.0,4.5,32,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000096/,short,1896,
tt0000097,"Place de l'Opéra, 1er aspect",1896.0,4.9,36,"Documentary,Short",This film is believed to be lost.,France,Georges Méliès,,https://www.imdb.com/title/tt0000097/,short,1896,
tt0000098,"Place de l'Opéra, 2e aspect",1896.0,5.3,39,"Documentary,Short",This film is believed to be lost.,France,Georges Méliès,,https://www.imdb.com/title/tt0000098/,short,1896,
tt0000099,Place de la Bastille,1896.0,4.7,35,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000099/,short,1896,
tt0000100,Place de la Concorde,1896.0,4.7,65,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000100/,short,1896,
tt0000101,Place du théâtre français,1896.0,4.6,31,"Documentary,Short",The eleventh film made by Georges Méliès.,France,Georges Méliès,,https://www.imdb.com/title/tt0000101/,short,1896,
tt0000102,Plage de Villiers par gros temps,1896.0,4.7,29,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000102/,short,1896,
tt0000103,Plus fort que le maître,1896.0,5.5,30,Short,The third film made by George Méliès.,France,Georges Méliès,,https://www.imdb.com/title/tt0000103/,short,1896,
tt0000104,Pompiers à Lyon,1896.0,5.5,499,"Documentary,Short",Lumière n° 778.,France,,,https://www.imdb.com/title/tt0000104/,short,1896,1
tt0000105,Les quais à Marseille,1896.0,5.0,32,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000105/,short,1896,
tt0000106,Retour au cantonnement,1896.0,4.5,26,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000106/,short,1896,
tt0000107,Revue navale à Cherbourg,1896.0,5.3,31,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000107/,short,1896,
tt0000108,Rip Leaving Sleepy Hollow,1896.0,4.4,587,"Drama,Short",Biograph production number 52.,United States,William K.L. Dickson,Washington Irving,https://www.imdb.com/title/tt0000108/,short,1896,1
tt0000109,Rip Meeting the Dwarf,1896.0,4.5,574,"Fantasy,Short","This film was incorporated wholly into the compilation film Rip Van Winkle (1896), which is in the 3-disk boxed DVD set called ""More Treasures from American Film Archives, 1894-1931"" (2004), compiled by the National Film Preservation Foundation from 5 American film archives. It was restored by the Library of Congress from its paper print collection, has a running time of about 25 seconds, and an added piano music score.",United States,William K.L. Dickson,Washington Irving,https://www.imdb.com/title/tt0000109/,short,1896,1
tt0000110,Rip Passing Over the Mountain,1896.0,4.3,580,"Fantasy,Short","This film was incorporated into the compilation film Rip Van Winkle (1896), which is in the 3-disk boxed DVD set called ""More Treasures from American Film Archives, 1894-1931"" (2004), compiled by the National Film Preservation Foundation from 5 American film archives. It was restored by the Library of Congress from its paper print collection, has a running time of about 25 seconds, and an added piano music score.",United States,William K.L. Dickson,Washington Irving,https://www.imdb.com/title/tt0000110/,short,1896,1
tt0000111,Rip's Toast,1896.0,4.4,594,"Drama,Short","This film was incorporated into the compilation film Rip Van Winkle (1896), which is in the 3-disk boxed DVD set called ""More Treasures from American Film Archives, 1894-1931"" (2004), compiled by the National Film Preservation Foundation from 5 American film archives. It was restored by the Library of Congress from its paper print collection, has a running time of about 25 seconds, and an added piano music score.",United States,William K.L. Dickson,Washington Irving,https://www.imdb.com/title/tt0000111/,short,1896,1
tt0000112,Rip's Toast to Hudson,1896.0,4.5,568,"Fantasy,Short","This film was incorporated wholly into the compilation film Rip Van Winkle (1896), which is in the 3-disk boxed DVD set called ""More Treasures from American Film Archives, 1894-1931"" (2004), compiled by the National Film Preservation Foundation from 5 American film archives. It was restored by the Library of Congress from its paper print collection, has a running time of about 25 seconds, and an added piano music score.",United States,William K.L. Dickson,Washington Irving,https://www.imdb.com/title/tt0000112/,short,1896,1
tt0000113,Rip's Twenty Years' Sleep,1896.0,4.3,595,"Drama,Short",Biograph production number 50.,United States,William K.L. Dickson,Washington Irving,https://www.imdb.com/title/tt0000113/,short,1896,1
tt0000114,Le régiment,1896.0,5.1,33,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000114/,short,1896,
tt0000115,Réunion d'officiers,1896.0,4.9,37,"Documentary,Short",,France,Georges Méliès,,https://www.imdb.com/title/tt0000115/,short,1896,
tt0000116,Sac au dos,1896.0,5.2,30,Short,"Part of Méliès's series of documented military scenes, now presumed lost.",France,Georges Méliès,,https://www.imdb.com/title/tt0000116/,short,1896,
tt0000117,Saída do Pessoal Operário da Fábrica Confiança,1896.0,5.0,188,"Documentary,Short","The film is preserved at the Cinemateca Portuguesa - Museu do Cinema, a Portuguese public institute.",Portugal,Aurélio da Paz dos Reis,,https://www.imdb.com/title/tt0000117/,short,1896,1
tt0000118,Salut malencontreux d'un déserteur,1896.0,4.8,46,Short,,France,Georges Méliès,,https://www.imdb.com/title/tt0000118/,short,1896,
tt0000119,"Sauvetage en rivière, 1er",1896.0,5.0,75,"Documentary,Short","This film was in two parts, both of which are now lost, and was thought to be an imitation of Robert Paul's ""Scene on the Thames"" from the same year.",France,Georges Méliès,,https://www.imdb.com/title/tt0000119/,short,1896,
tt0000120,"Sauvetage en rivière, 2e",1896.0,4.8,66,"Documentary,Short","An early example of film drama, the two-part (lost) short is believed to have been an imitation of Robert Paul's ""Scene on the Thames"".",France,Georges Méliès,,https://www.imdb.com/title/tt0000120/,short,1896,
